GEOID,STATEFP,COUNTYFP,metro_code,Hub_distance,NAME_2,NAMELSAD_2,Metro_Area
06037122200,06,037,31080.0,25489.873369081375,Los Angeles,Los Angeles County,Los Angeles
06037122410,06,037,31080.0,22911.415676913508,Los Angeles,Los Angeles County,Los Angeles
06037122420,06,037,31080.0,23272.194832516416,Los Angeles,Los Angeles County,Los Angeles
06037123010,06,037,31080.0,23637.63408643909,Los Angeles,Los Angeles County,Los Angeles
06037123020,06,037,31080.0,24248.072940087164,Los Angeles,Los Angeles County,Los Angeles
06037123103,06,037,31080.0,23078.554477586134,Los Angeles,Los Angeles County,Los Angeles
06037123104,06,037,31080.0,22416.795153261202,Los Angeles,Los Angeles County,Los Angeles
06037123203,06,037,31080.0,22189.803426840022,Los Angeles,Los Angeles County,Los Angeles
06037123204,06,037,31080.0,21813.066698702463,Los Angeles,Los Angeles County,Los Angeles
06037123205,06,037,31080.0,22420.56169113005,Los Angeles,Los Angeles County,Los Angeles
06037123206,06,037,31080.0,22804.673602308205,Los Angeles,Los Angeles County,Los Angeles
06037123301,06,037,31080.0,22120.686581129197,Los Angeles,Los Angeles County,Los Angeles
06037123303,06,037,31080.0,21289.497850025644,Los Angeles,Los Angeles County,Los Angeles
06037123304,06,037,31080.0,21476.946105395335,Los Angeles,Los Angeles County,Los Angeles
06037123410,06,037,31080.0,20909.332973751065,Los Angeles,Los Angeles County,Los Angeles
06037123420,06,037,31080.0,20705.217219208975,Los Angeles,Los Angeles County,Los Angeles
06037123510,06,037,31080.0,20374.901681310494,Los Angeles,Los Angeles County,Los Angeles
06037123520,06,037,31080.0,19874.47677845338,Los Angeles,Los Angeles County,Los Angeles
06037123601,06,037,31080.0,19145.183369847928,Los Angeles,Los Angeles County,Los Angeles
06037123602,06,037,31080.0,19071.899672969306,Los Angeles,Los Angeles County,Los Angeles
06037123700,06,037,31080.0,20208.41782734505,Los Angeles,Los Angeles County,Los Angeles
06037123800,06,037,31080.0,20142.308995315954,Los Angeles,Los Angeles County,Los Angeles
06037123901,06,037,31080.0,21055.26705298491,Los Angeles,Los Angeles County,Los Angeles
06037123902,06,037,31080.0,20264.152276783167,Los Angeles,Los Angeles County,Los Angeles
06037124000,06,037,31080.0,18375.737654659264,Los Angeles,Los Angeles County,Los Angeles
06037124102,06,037,31080.0,20741.344494521047,Los Angeles,Los Angeles County,Los Angeles
06037124103,06,037,31080.0,21875.23383170577,Los Angeles,Los Angeles County,Los Angeles
06037124104,06,037,31080.0,21547.910348810277,Los Angeles,Los Angeles County,Los Angeles
